archive_name,datetime,product,product_code,data_units
SNODAS_20040120.tar,2004-01-20,"Modeled blowing snow sublimation rate, 24-hour total",107057313 ,Meters / 100000.000000
SNODAS_20040120.tar,2004-01-20,"Modeled snowpack sublimation rate, 24-hour total",107057290 ,Meters / 100000.000000
SNODAS_20040120.tar,2004-01-20,"Non-snow accumulation, 24-hour total",107057367 ,Kilograms per square meter / 10.000000
SNODAS_20040120.tar,2004-01-20,"Modeled melt rate, bottom of snow layers, 24-hour total",107057266 ,Meters / 100000.000000
SNODAS_20040120.tar,2004-01-20,"Snow accumulation, 24-hour total",107057326 ,Kilograms per square meter / 10.000000
SNODAS_20040329.tar,2004-03-29,"Modeled snowpack sublimation rate, 24-hour total",115198845 ,Meters / 100000.000000
SNODAS_20040329.tar,2004-03-29,"Modeled blowing snow sublimation rate, 24-hour total",115197008 ,Meters / 100000.000000
SNODAS_20040329.tar,2004-03-29,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",115197200 ,Kelvins
SNODAS_20040329.tar,2004-03-29,"Non-snow accumulation, 24-hour total",115197184 ,Kilograms per square meter / 10.000000
SNODAS_20040329.tar,2004-03-29,"Modeled snow layer thickness, total of snow layers",115195396 ,Meters / 1000.000000
SNODAS_20040329.tar,2004-03-29,"Modeled melt rate, bottom of snow layers, 24-hour total",115198819 ,Meters / 100000.000000
SNODAS_20040329.tar,2004-03-29,"Modeled snow water equivalent, total of snow layers",115197346 ,Meters / 1000.000000
SNODAS_20040329.tar,2004-03-29,"Snow accumulation, 24-hour total",115197010 ,Kilograms per square meter / 10.000000
SNODAS_20040608.tar,2004-06-08,"Modeled snow layer thickness, total of snow layers",123313377 ,Meters / 1000.000000
SNODAS_20040608.tar,2004-06-08,"Snow accumulation, 24-hour total",123316590 ,Kilograms per square meter / 10.000000
SNODAS_20040608.tar,2004-06-08,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",123316655 ,Kelvins
SNODAS_20040608.tar,2004-06-08,"Modeled snow water equivalent, total of snow layers",123314416 ,Meters / 1000.000000
SNODAS_20040608.tar,2004-06-08,"Modeled snowpack sublimation rate, 24-hour total",123316397 ,Meters / 100000.000000
SNODAS_20040608.tar,2004-06-08,"Modeled melt rate, bottom of snow layers, 24-hour total",123316147 ,Meters / 100000.000000
SNODAS_20040608.tar,2004-06-08,"Non-snow accumulation, 24-hour total",123316552 ,Kilograms per square meter / 10.000000
SNODAS_20040608.tar,2004-06-08,"Modeled blowing snow sublimation rate, 24-hour total",123316426 ,Meters / 100000.000000
SNODAS_20031126.tar,2003-11-26,"Non-snow accumulation, 24-hour total",100688412 ,Kilograms per square meter / 10.000000
SNODAS_20031126.tar,2003-11-26,"Snow accumulation, 24-hour total",100688034 ,Kilograms per square meter / 10.000000
SNODAS_20031126.tar,2003-11-26,"Modeled melt rate, bottom of snow layers, 24-hour total",100690845 ,Meters / 100000.000000
SNODAS_20031126.tar,2003-11-26,"Modeled snow layer thickness, total of snow layers",100689562 ,Meters / 1000.000000
SNODAS_20031126.tar,2003-11-26,"Modeled snow water equivalent, total of snow layers",100691539 ,Meters / 1000.000000
SNODAS_20031126.tar,2003-11-26,"Modeled blowing snow sublimation rate, 24-hour total",100691121 ,Meters / 100000.000000
SNODAS_20031126.tar,2003-11-26,"Modeled snowpack sublimation rate, 24-hour total",100690892 ,Meters / 100000.000000
SNODAS_20040705.tar,2004-07-05,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",126387108 ,Kelvins
SNODAS_20040705.tar,2004-07-05,"Snow accumulation, 24-hour total",126386429 ,Kilograms per square meter / 10.000000
SNODAS_20040705.tar,2004-07-05,"Modeled melt rate, bottom of snow layers, 24-hour total",126385999 ,Meters / 100000.000000
SNODAS_20040705.tar,2004-07-05,"Modeled snowpack sublimation rate, 24-hour total",126386104 ,Meters / 100000.000000
SNODAS_20040705.tar,2004-07-05,"Non-snow accumulation, 24-hour total",126386756 ,Kilograms per square meter / 10.000000
SNODAS_20040705.tar,2004-07-05,"Modeled blowing snow sublimation rate, 24-hour total",126386302 ,Meters / 100000.000000
SNODAS_20040705.tar,2004-07-05,"Modeled snow layer thickness, total of snow layers",126384241 ,Meters / 1000.000000
SNODAS_20040705.tar,2004-07-05,"Modeled snow water equivalent, total of snow layers",126389694 ,Meters / 1000.000000
SNODAS_20040312.tar,2004-03-12,"Snow accumulation, 24-hour total",113138118 ,Kilograms per square meter / 10.000000
SNODAS_20040312.tar,2004-03-12,"Non-snow accumulation, 24-hour total",113138184 ,Kilograms per square meter / 10.000000
SNODAS_20040312.tar,2004-03-12,"Modeled snowpack sublimation rate, 24-hour total",113137841 ,Meters / 100000.000000
SNODAS_20040312.tar,2004-03-12,"Modeled snow layer thickness, total of snow layers",113135419 ,Meters / 1000.000000
SNODAS_20040312.tar,2004-03-12,"Modeled snow water equivalent, total of snow layers",113135486 ,Meters / 1000.000000
SNODAS_20040312.tar,2004-03-12,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",113138206 ,Kelvins
SNODAS_20040312.tar,2004-03-12,"Modeled melt rate, bottom of snow layers, 24-hour total",113137587 ,Meters / 100000.000000
SNODAS_20040312.tar,2004-03-12,"Modeled blowing snow sublimation rate, 24-hour total",113137995 ,Meters / 100000.000000
SNODAS_20040217.tar,2004-02-17,"Snow accumulation, 24-hour total",110214460 ,Kilograms per square meter / 10.000000
SNODAS_20040217.tar,2004-02-17,"Modeled snow layer thickness, total of snow layers",110213328 ,Meters / 1000.000000
SNODAS_20040217.tar,2004-02-17,"Modeled melt rate, bottom of snow layers, 24-hour total",110217306 ,Meters / 100000.000000
SNODAS_20040217.tar,2004-02-17,"Modeled snow water equivalent, total of snow layers",110213696 ,Meters / 1000.000000
SNODAS_20040217.tar,2004-02-17,"Modeled blowing snow sublimation rate, 24-hour total",110217404 ,Meters / 100000.000000
SNODAS_20040217.tar,2004-02-17,"Non-snow accumulation, 24-hour total",110214579 ,Kilograms per square meter / 10.000000
SNODAS_20040217.tar,2004-02-17,"Modeled snowpack sublimation rate, 24-hour total",110217352 ,Meters / 100000.000000
SNODAS_20031220.tar,2003-12-20,"Modeled snow water equivalent, total of snow layers",103474760 ,Meters / 1000.000000
SNODAS_20031220.tar,2003-12-20,"Modeled snow layer thickness, total of snow layers",103473058 ,Meters / 1000.000000
SNODAS_20031220.tar,2003-12-20,"Modeled melt rate, bottom of snow layers, 24-hour total",103470069 ,Meters / 100000.000000
SNODAS_20031220.tar,2003-12-20,"Snow accumulation, 24-hour total",103470854 ,Kilograms per square meter / 10.000000
SNODAS_20031220.tar,2003-12-20,"Modeled blowing snow sublimation rate, 24-hour total",103470488 ,Meters / 100000.000000
SNODAS_20031220.tar,2003-12-20,"Modeled snowpack sublimation rate, 24-hour total",103470325 ,Meters / 100000.000000
SNODAS_20031220.tar,2003-12-20,"Non-snow accumulation, 24-hour total",103471198 ,Kilograms per square meter / 10.000000
SNODAS_20040523.tar,2004-05-23,"Modeled melt rate, bottom of snow layers, 24-hour total",121743982 ,Meters / 100000.000000
SNODAS_20040523.tar,2004-05-23,"Modeled snow layer thickness, total of snow layers",121590530 ,Meters / 1000.000000
SNODAS_20040523.tar,2004-05-23,"Modeled snowpack sublimation rate, 24-hour total",121743984 ,Meters / 100000.000000
SNODAS_20040523.tar,2004-05-23,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",121743996 ,Kelvins
SNODAS_20040523.tar,2004-05-23,"Snow accumulation, 24-hour total",121743449 ,Kilograms per square meter / 10.000000
SNODAS_20040523.tar,2004-05-23,"Non-snow accumulation, 24-hour total",121743993 ,Kilograms per square meter / 10.000000
SNODAS_20040523.tar,2004-05-23,"Modeled blowing snow sublimation rate, 24-hour total",121743985 ,Meters / 100000.000000
SNODAS_20040523.tar,2004-05-23,"Modeled snow water equivalent, total of snow layers",121573828 ,Meters / 1000.000000
SNODAS_20031102.tar,2003-11-02,"Modeled snow water equivalent, total of snow layers",97946050  ,Meters / 1000.000000
SNODAS_20031102.tar,2003-11-02,"Modeled snowpack sublimation rate, 24-hour total",97942464  ,Meters / 100000.000000
SNODAS_20031102.tar,2003-11-02,"Non-snow accumulation, 24-hour total",97929868  ,Kilograms per square meter / 10.000000
SNODAS_20031102.tar,2003-11-02,"Modeled blowing snow sublimation rate, 24-hour total",97943289  ,Meters / 100000.000000
SNODAS_20031102.tar,2003-11-02,"Modeled melt rate, bottom of snow layers, 24-hour total",97941816  ,Meters / 100000.000000
SNODAS_20031102.tar,2003-11-02,"Snow accumulation, 24-hour total",97929824  ,Kilograms per square meter / 10.000000
SNODAS_20031102.tar,2003-11-02,"Modeled snow layer thickness, total of snow layers",97929606  ,Meters / 1000.000000
SNODAS_20040512.tar,2004-05-12,"Modeled blowing snow sublimation rate, 24-hour total",120240853 ,Meters / 100000.000000
SNODAS_20040512.tar,2004-05-12,"Modeled snowpack sublimation rate, 24-hour total",120243538 ,Meters / 100000.000000
SNODAS_20040512.tar,2004-05-12,"Snow accumulation, 24-hour total",120240928 ,Kilograms per square meter / 10.000000
SNODAS_20040512.tar,2004-05-12,"Modeled snow layer thickness, total of snow layers",120235186 ,Meters / 1000.000000
SNODAS_20040512.tar,2004-05-12,"Modeled snow water equivalent, total of snow layers",120234681 ,Meters / 1000.000000
SNODAS_20040512.tar,2004-05-12,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",120241012 ,Kelvins
SNODAS_20040512.tar,2004-05-12,"Modeled melt rate, bottom of snow layers, 24-hour total",120243533 ,Meters / 100000.000000
SNODAS_20040512.tar,2004-05-12,"Non-snow accumulation, 24-hour total",120240969 ,Kilograms per square meter / 10.000000
SNODAS_20040418.tar,2004-04-18,"Modeled snow layer thickness, total of snow layers",117498589 ,Meters / 1000.000000
SNODAS_20040418.tar,2004-04-18,"Modeled snowpack sublimation rate, 24-hour total",117500952 ,Meters / 100000.000000
SNODAS_20040418.tar,2004-04-18,"Modeled blowing snow sublimation rate, 24-hour total",117500981 ,Meters / 100000.000000
SNODAS_20040418.tar,2004-04-18,"Snow accumulation, 24-hour total",117501136 ,Kilograms per square meter / 10.000000
SNODAS_20040418.tar,2004-04-18,"Modeled snow water equivalent, total of snow layers",117496282 ,Meters / 1000.000000
SNODAS_20040418.tar,2004-04-18,"Non-snow accumulation, 24-hour total",117501217 ,Kilograms per square meter / 10.000000
SNODAS_20040418.tar,2004-04-18,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",117501268 ,Kelvins
SNODAS_20040418.tar,2004-04-18,"Modeled melt rate, bottom of snow layers, 24-hour total",117500857 ,Meters / 100000.000000
SNODAS_20040414.tar,2004-04-14,"Snow accumulation, 24-hour total",117046160 ,Kilograms per square meter / 10.000000
SNODAS_20040414.tar,2004-04-14,"Modeled melt rate, bottom of snow layers, 24-hour total",117045900 ,Meters / 100000.000000
SNODAS_20040414.tar,2004-04-14,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",117046609 ,Kelvins
